site,country,inscription date,is the site in danger,removal date,latitude,longitude,area,category,transboundary
Phoenix Islands Protected Area,Kiribati,2010,No,,-3.864454,-172.650203,40825000.0,Natural,No
Papahānaumokuākea,United States,2010,No,,25.34907,-170.14582,36207499.0,Mixed,No
Great Barrier Reef,Australia,1981,No,,-18.2861111,147.7,34870000.0,Natural,No
Galápagos Islands,Ecuador,1978,No,2010.0,-0.68986,-90.501319,14066514.0,Natural,No
Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,Canada,1979,No,,61.1975833,-140.9919722,9839121.0,Natural,Yes
Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,United States,1979,No,,61.1975833,-140.9919722,9839121.0,Natural,Yes
Lake Baikal,Russia,1996,No,,53.1736111,107.6625,8800000.0,Natural,No
Air and Ténéré Natural Reserves,Niger,1991,Yes,,18.0,9.0,7736000.0,Natural,No
Tassili n''Ajjer,Algeria,1982,No,,25.5,9.0,7200000.0,Mixed,No
Central Amazon Conservation Complex,Brazil,2000,No,,-2.3333333,-62.0083333,5232018.0,Natural,No
Selous Game Reserve,Tanzania,1982,Yes,,-9.0,37.4,5120000.0,Natural,No
Wood Buffalo National Park,Canada,1983,No,,59.3583333,-112.2933333,4480000.0,Natural,No
Volcanoes of Kamchatka,Russia,1996,No,,56.3333333,158.5,3995769.37,Natural,No
Rock-Art Sites of Tadrart Acacus,Libya,1985,Yes,,24.83333,10.33333,3923961.0,Cultural,No
Qinghai Hoh Xil,China,2017,No,,35.3802778,92.4391667,3735632.0,Natural,No
Salonga National Park,Dem. Rep. Congo,1984,No,2021.0,-2.0,21.0,3600000.0,Natural,No
Cold Winter Deserts of Turan,Turkmenistan,2023,No,,44.0258333,79.0341667,3368741.0,Natural,Yes
Cold Winter Deserts of Turan,Uzbekistan,2023,No,,44.0258333,79.0341667,3368741.0,Natural,Yes
Cold Winter Deserts of Turan,Kazakhstan,2023,No,,44.0258333,79.0341667,3368741.0,Natural,Yes
Virgin Komi Forests,Russia,1995,No,,63.6258333,58.9525,3280000.0,Natural,No
Namib Sand Sea,Namibia,2013,No,,-24.8852778,15.4077778,3077700.0,Natural,No
Canaima National Park,Venezuela,1994,No,,5.337994,-62.037883,3000000.0,Natural,No
Pimachiowin Aki,Canada,2018,No,,51.8264167,-95.4112778,2904000.0,Mixed,No
Chiribiquete National Park – “The Maloca of the Jaguar”,Colombia,2018,No,,0.5252778,-72.7972222,2782354.0,Mixed,No
Tajik National Park (Mountains of the Pamirs),Tajikistan,2013,No,,38.765,72.3052778,2611674.0,Natural,No
Te Wahipounamu – South West New Zealand,New Zealand,1990,No,,-45.0360278,167.3196111,2600000.0,Natural,No
Tropical Rainforest Heritage of Sumatra,Indonesia,2004,Yes,,-2.5,101.5,2595124.0,Natural,No
Ennedi Massif: Natural and Cultural Landscape,Chad,2016,No,,17.0416667,21.8627778,2441200.0,Mixed,No
Canadian Rocky Mountain Parks,Canada,1984,No,,51.4247222,-116.4797222,2360000.0,Natural,No
Lorentz National Park,Indonesia,1999,No,,-4.75,137.83333,2350000.0,Natural,No
Lut Desert,Iran,2016,No,,30.2161111,58.8388889,2278015.0,Natural,No
"Shark Bay, Western Australia",Australia,1991,No,,-25.4861111,113.4361111,2200902.0,Natural,No
Okavango Delta,Botswana,2014,No,,-19.2833333,22.9,2023590.0,Natural,No
Kakadu National Park,Australia,1981,No,,-12.8333333,132.8333333,1980994.92,Mixed,No
Natural System of Wrangel Island Reserve,Russia,2004,No,,71.1888889,-179.7152778,1916300.0,Natural,No
Putorana Plateau,Russia,2010,No,,69.0469444,94.1580556,1887251.0,Natural,No
Manovo-Gounda St Floris National Park,Central African Republic,1988,Yes,,9.0,21.5,1740000.0,Natural,No
Manú National Park,Peru,1987,No,,-12.25,-71.75,1716295.22,Natural,No
W-Arly-Pendjari Complex,Niger,1996,No,,11.8841667,2.4877778,1714831.0,Natural,Yes
W-Arly-Pendjari Complex,Burkina Faso,1996,No,,11.8841667,2.4877778,1714831.0,Natural,Yes
W-Arly-Pendjari Complex,Benin,1996,No,,11.8841667,2.4877778,1714831.0,Natural,Yes
Golden Mountains of Altai,Russia,1998,No,,50.4666667,86.0,1611457.0,Natural,No
Central Suriname Nature Reserve,Suriname,2000,No,,4.0,-56.5,1600000.0,Natural,No
Tasmanian Wilderness,Australia,1982,No,,-43.1184722,146.2305556,1584233.0,Mixed,No
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,France,2008,No,,-20.4119444,164.5663889,1574300.0,Natural,No
Central Sikhote-Alin,Russia,2001,No,,46.6833333,136.6611111,1566818.0,Natural,No
Noel Kempff Mercado National Park,Bolivia,2000,No,,-14.26667,-60.86667,1523446.0,Natural,No
Vatnajökull National Park - Dynamic Nature of Fire and Ice,Iceland,2019,No,,64.577363,-16.8815404,1482000.0,Natural,No
Serengeti National Park,Tanzania,1981,No,,-2.33333,34.56667,1476300.0,Natural,No
Lena Pillars Nature Park,Russia,2012,No,,60.6666667,127.0,1387000.0,Natural,No
Okapi Wildlife Reserve,Dem. Rep. Congo,1996,Yes,,2.0,28.5,1372625.0,Natural,No
‘Uruq Bani Ma’arid,Saudi Arabia,2023,No,,19.3638889,45.5983333,1276500.0,Natural,No
Banc d''Arguin National Park,Mauritania,1989,No,,20.23472,-16.10889,1200000.0,Natural,No
Forest Massif of Odzala-Kokoua,Congo,2023,No,,1.3355556,14.8602778,1179376.0,Natural,No
Wadden Sea,Denmark,2009,No,,53.5286111,8.5561111,1143403.0,Natural,Yes
Wadden Sea,Germany,2009,No,,53.5286111,8.5561111,1143403.0,Natural,Yes
Wadden Sea,Netherlands,2009,No,,53.5286111,8.5561111,1143403.0,Natural,Yes
Cape Floral Region Protected Areas,South Africa,2004,No,,-34.3611111,18.475,1094742.0,Natural,No
Greater Blue Mountains Area,Australia,2000,No,,-33.7,150.0,1032649.0,Natural,No
ǂKhomani Cultural Landscape,South Africa,2017,No,,-25.6876111,20.3745833,959100.0,Cultural,No
Laponian Area,Sweden,1996,No,,67.33333,17.58333,940900.0,Mixed,No
"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains",China,2006,No,,30.8333333,103.0,924500.0,Natural,No
Niokolo-Koba National Park,Senegal,1981,Yes,,12.841271,-12.899781,913000.0,Natural,No
Landscapes of Dauria,Mongolia,2017,No,,49.9302222,115.4254444,912624.0,Natural,Yes
Landscapes of Dauria,Russia,2017,No,,49.9302222,115.4254444,912624.0,Natural,Yes
Yellowstone National Park,United States,1978,No,2003.0,44.46056,-110.82778,898349.0,Natural,No
Uvs Nuur Basin,Russia,2003,No,,50.275,92.7197222,898063.5,Natural,Yes
Uvs Nuur Basin,Mongolia,2003,No,,50.275,92.7197222,898063.5,Natural,Yes
Wet Tropics of Queensland,Australia,1988,No,,-15.65,144.9666667,893453.0,Natural,No
Malpelo Fauna and Flora Sanctuary,Colombia,2006,No,,4.003344,-81.607572,857500.0,Natural,No
Ngorongoro Conservation Area,Tanzania,1979,No,1989.0,-3.18722,35.54083,809440.0,Mixed,No
Virunga National Park,Dem. Rep. Congo,1979,Yes,,0.9166667,29.1666667,800000.0,Natural,No
Western Ghats,India,2012,No,,8.5297222,77.2497222,795315.0,Natural,No
Sangha Trinational,Central African Republic,2012,No,,2.6094444,16.5541667,746309.0,Natural,Yes
Sangha Trinational,Cameroon,2012,No,,2.6094444,16.5541667,746309.0,Natural,Yes
Sangha Trinational,Congo,2012,No,,2.6094444,16.5541667,746309.0,Natural,Yes
Andrefana Dry Forests,Madagascar,1990,No,,-18.6615778,44.7673861,734298.0,Natural,No
Los Glaciares National Park,Argentina,1981,No,,-50.0,-73.24944,726927.0,Natural,No
El Pinacate and Gran Desierto de Altar Biosphere Reserve,Mexico,2013,No,,32.0,-113.9166667,714566.0,Natural,No
Ningaloo Coast,Australia,2011,No,,-22.5625,113.8102778,705015.0,Natural,No
Islands and Protected Areas of the Gulf of California,Mexico,2005,Yes,,27.62667,-112.54583,688558.0,Natural,No
"Mana Pools National Park, Sapi and Chewore Safari Areas",Zimbabwe,1984,No,,-15.8194444,29.4080556,676600.0,Natural,No
Heard and McDonald Islands,Australia,1997,No,,-53.1,73.5,658903.0,Natural,No
Archipiélago de Revillagigedo,Mexico,2016,No,,18.7880556,-110.9752778,636685.375,Natural,No
Thungyai-Huai Kha Khaeng Wildlife Sanctuaries,Thailand,1991,No,,15.33333,98.91667,622200.0,Natural,No
Dong Phayayen-Khao Yai Forest Complex,Thailand,2005,No,,14.33,102.05,615500.0,Natural,No
Xinjiang Tianshan,China,2013,No,,41.9683333,80.3541667,606833.0,Natural,No
Kahuzi-Biega National Park,Dem. Rep. Congo,1980,Yes,,-2.334053,28.180743,600000.0,Natural,No
Darien National Park,Panama,1981,No,,7.7361111,-77.5472222,579000.0,Natural,No
Talamanca Range-La Amistad Reserves / La Amistad National Park,Panama,1983,No,,9.4070833,-82.9388056,570045.0,Natural,Yes
Talamanca Range-La Amistad Reserves / La Amistad National Park,Costa Rica,1983,No,,9.4070833,-82.9388056,570045.0,Natural,Yes
Everglades National Park,United States,1979,Yes,2007.0,25.5544444,-80.9963889,567017.0,Natural,No
Macquarie Island,Australia,1997,No,,-54.5947222,158.8955556,557280.0,Natural,No
Western Tien-Shan,Kazakhstan,2016,No,,43.7183333,68.6788889,528177.6,Natural,Yes
Western Tien-Shan,Uzbekistan,2016,No,,43.7183333,68.6788889,528177.6,Natural,Yes
Western Tien-Shan,Kyrgyz Republic,2016,No,,43.7183333,68.6788889,528177.6,Natural,Yes
Sian Ka''an,Mexico,1987,No,,19.38333,-87.79167,528000.0,Natural,No
Dja Faunal Reserve,Cameroon,1987,No,,3.0,13.0,526000.0,Natural,No
Garamba National Park,Dem. Rep. Congo,1980,Yes,1992.0,4.0,29.25,500000.0,Natural,No
Grand Canyon National Park,United States,1979,No,,36.1008333,-112.0905556,493270.0,Natural,No
Ecosystem and Relict Cultural Landscape of Lopé-Okanda,Gabon,2007,No,,-0.5,11.5,491291.0,Mixed,No
Rainforests of the Atsinanana,Madagascar,2007,Yes,,-14.4597222,49.7025,479660.7,Natural,No
Nahanni National Park,Canada,1978,No,,61.5472222,-125.5894444,476560.0,Natural,No
Atlantic Forest South-East Reserves,Brazil,1999,No,,-24.16667,-48.0,468193.0,Natural,No
Waterton Glacier International Peace Park,United States,1995,No,,48.9960556,-113.9041667,457614.0,Natural,Yes
Waterton Glacier International Peace Park,Canada,1995,No,,48.9960556,-113.9041667,457614.0,Natural,Yes
Saryarka – Steppe and Lakes of Northern Kazakhstan,Kazakhstan,2008,No,,50.4333333,69.1888889,450344.0,Natural,No
Great Burkhan Khaldun Mountain and its surrounding sacred landscape,Mongolia,2015,No,,48.7619778,109.0093278,443739.2,Cultural,No
Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,Denmark,2018,No,,67.0639306,-51.4332056,417800.0,Cultural,No
Socotra Archipelago,Yemen,2008,No,,12.5,53.8333333,410460.0,Natural,No
Kaeng Krachan Forest Complex,Thailand,2021,No,,12.8656667,99.4001667,408940.0,Natural,No
Ilulissat Icefjord,Denmark,2004,No,,69.1333333,-49.5,399800.0,Natural,No
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,Brazil,2001,No,,-14.0056944,-47.6846111,381430.0,Natural,No
Gondwana Rainforests of Australia,Australia,1986,No,,-28.25,150.05,370000.0,Natural,No
Olympic National Park,United States,1981,No,,47.7483333,-123.4488889,369659.8,Natural,No
Whale Sanctuary of El Vizcaino,Mexico,1993,No,,27.79222,-114.22778,369631.0,Natural,No
Península Valdés,Argentina,1999,No,,-42.5,-64.0,360000.0,Natural,No
Río Plátano Biosphere Reserve,Honduras,1982,Yes,2007.0,15.7444444,-84.675,350000.0,Natural,No
Huascarán National Park,Peru,1985,No,,-9.33333,-77.4,340000.0,Natural,No
High Coast / Kvarken Archipelago,Finland,2000,No,,63.3,21.3,336900.0,Natural,Yes
High Coast / Kvarken Archipelago,Sweden,2000,No,,63.3,21.3,336900.0,Natural,Yes
"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche",Mexico,2002,No,,18.0530278,-89.7372833,331397.0,Mixed,No
Cliff of Bandiagara (Land of the Dogons),Mali,1989,No,,14.33333,-3.41667,327390.0,Mixed,No
Danube Delta,Romania,1991,No,,45.08333,29.5,312440.0,Natural,No
Yosemite National Park,United States,1984,No,,37.7461111,-119.5966667,307934.0,Natural,No
"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape",France,2011,No,,44.2202778,3.4730556,302319.0,Cultural,No
Western Caucasus,Russia,1999,No,,44.0,40.0,298903.0,Natural,No
Ivindo National Park,Gabon,2021,No,,0.4061111,12.6408333,298758.0,Natural,No
Ischigualasto / Talampaya Natural Parks,Argentina,2000,No,,-30.0,-68.0,275369.0,Natural,No
Río Abiseo National Park,Peru,1990,No,,-7.75,-77.25,272407.95,Mixed,No
Sangay National Park,Ecuador,1983,No,2005.0,-1.83333,-78.33333,271925.0,Natural,No
"Koutammakou, the Land of the Batammariba",Togo,2004,No,,10.1480833,1.1002222,271826.0,Cultural,Yes
"Koutammakou, the Land of the Batammariba",Benin,2004,No,,10.1480833,1.1002222,271826.0,Cultural,Yes
Coiba National Park and its Special Zone of Marine Protection,Panama,2005,No,,7.433,-81.766,270125.0,Natural,No
Sanganeb Marine National Park and Dungonab Bay – Mukkawar Island Marine National Park,Sudan,2016,No,,19.7361111,37.4430556,260700.0,Natural,No
Maloti-Drakensberg Park,South Africa,2000,No,,-29.7652778,29.1230556,249313.0,Mixed,Yes
Maloti-Drakensberg Park,Lesotho,2000,No,,-29.7652778,29.1230556,249313.0,Mixed,Yes
Willandra Lakes Region,Australia,1981,No,,-34.0,143.0,240000.0,Mixed,No
Purnululu National Park,Australia,2003,No,,-17.5,128.5,239723.0,Natural,No
iSimangaliso Wetland Park,South Africa,1999,No,,-27.83889,32.55,239566.0,Natural,No
Kondoa Rock-Art Sites,Tanzania,2006,No,,-4.7244444,35.8338889,233600.0,Cultural,No
The English Lake District,United Kingdom,2017,No,,54.4766111,-3.0824167,229205.19,Cultural,No
Komodo National Park,Indonesia,1991,No,,-8.54333,119.48944,219322.0,Natural,No
Bale Mountains National Park,Ethiopia,2023,No,,6.7977778,39.7488889,215000.0,Natural,No
The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities,Iraq,2016,No,,31.5622222,47.6577778,211544.0,Mixed,No
Great Smoky Mountains National Park,United States,1983,No,,35.5930556,-83.4355556,209000.0,Natural,No
Matobo Hills,Zimbabwe,2003,No,,-20.5,28.5,205000.0,Cultural,No
Mount Kenya National Park/Natural Forest,Kenya,1997,No,,-0.155,37.3155556,202334.0,Natural,No
Cocos Island National Park,Costa Rica,1997,No,,5.5333333,-87.0666667,199700.0,Natural,No
Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China (Phase I),China,2019,No,,32.9319444,121.0168139,188643.0,Natural,No
Los Alerces National Park,Argentina,2017,No,,-42.8528,-71.8728,188379.0,Natural,No
Pantanal Conservation Area,Brazil,2000,No,,-17.670318,-57.461874,187818.0,Natural,No
Rock Paintings of the Sierra de San Francisco,Mexico,1993,No,,27.626963,-113.020427,182600.0,Cultural,No
K’gari (Fraser Island),Australia,1992,No,,-25.2166667,153.1333333,181851.0,Natural,No
Gros Morne National Park,Canada,1987,No,,49.6125,-57.5313889,180500.0,Natural,No
Khangchendzonga National Park,India,2016,No,,27.7647222,88.3772222,178400.0,Mixed,No
Paraty and Ilha Grande – Culture and Biodiversity,Brazil,2019,No,,-23.0186056,-44.6853694,173164.18,Mixed,No
Quebrada de Humahuaca,Argentina,2003,No,,-23.1998611,-65.3488611,172116.4375,Cultural,No
Iguaçu National Park,Brazil,1986,No,2001.0,-25.4481472,-53.8001444,169695.88,Natural,No
Lake Turkana National Parks,Kenya,1997,Yes,,3.0513056,36.5036667,161485.0,Natural,No
Richtersveld Cultural and Botanical Landscape,South Africa,2007,No,,-28.6,17.2038889,160000.0,Cultural,No
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",Italy,1998,No,,40.2833333,15.2666667,159109.73,Cultural,No
Area de Conservación Guanacaste,Costa Rica,1999,No,,10.85,-85.6166667,147000.0,Natural,No
Lord Howe Island Group,Australia,1982,No,,-31.5655556,159.0883333,146300.0,Natural,No
Saloum Delta,Senegal,2011,No,,13.8352778,-16.4986111,145811.0,Cultural,No
Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica,Mexico,2018,No,,17.9899611,-97.1871528,145255.2,Mixed,No
The Dolomites,Italy,2009,No,,46.6130556,12.1630556,141902.8,Natural,No
Białowieża Forest,Poland,1979,No,,52.7275,23.9811111,141885.0,Natural,Yes
Białowieża Forest,Belarus,1979,No,,52.7275,23.9811111,141885.0,Natural,Yes
Coffee Cultural Landscape of Colombia,Colombia,2011,No,,4.889476,-75.773082,141120.0,Cultural,No
The Sundarbans,Bangladesh,1997,No,,21.95,89.18333,139500.0,Natural,No
Sundarbans National Park,India,1987,No,,21.945,88.8958333,133010.0,Natural,No
Uluru-Kata Tjuta National Park,Australia,1987,No,,-25.3333333,131.0,132566.0,Mixed,No
Serra da Capivara National Park,Brazil,1991,No,,-8.718634,-42.652436,130600.0,Cultural,No
"Getbol, Korean Tidal Flats",Korea,2021,No,,34.8288222,126.1044444,128411.0,Natural,No
Sagarmatha National Park,Nepal,1979,No,,27.96528,86.91306,124400.0,Natural,No
Phong Nha-Ke Bang National Park,Vietnam,2003,No,,17.5372222,106.15125,123326.0,Natural,No
West Norwegian Fjords – Geirangerfjord and Nærøyfjord,Norway,2005,No,,62.11667,7.16667,122712.0,Natural,No
Orkhon Valley Cultural Landscape,Mongolia,2004,No,,47.479214,102.678482,121967.0,Cultural,No
Barberton Makhonjwa Mountains,South Africa,2018,No,,-25.9738889,31.0138889,113137.0,Natural,No
Discovery Coast Atlantic Forest Reserves,Brazil,1999,No,,-16.5,-39.25,111930.0,Natural,No
Vegaøyan – The Vega Archipelago,Norway,2004,No,,65.61667,11.75,107294.0,Cultural,No
Mount Wuyi,China,1999,No,,27.7263889,117.7252778,107044.0,Mixed,No
Cultural Landscape of Hawraman/Uramanat,Iran,2021,No,,35.1073583,46.47785,106307.0,Cultural,No
"Pitons, cirques and remparts of Reunion Island",France,2010,No,,-21.0994444,55.48,105838.0,Natural,No
Nyungwe National Park,Rwanda,2023,No,,-2.5553,29.2473333,101963.67,Natural,No
Rock Islands Southern Lagoon,Palau,2012,No,,7.246925,134.3525,100200.0,Mixed,No
Rwenzori Mountains National Park,Uganda,1994,No,2004.0,0.2236111,29.9241667,99600.0,Natural,No
South China Karst,China,2007,No,,24.9233333,110.3544444,97125.0,Natural,No
Tubbataha Reefs Natural Park,Philippines,1993,No,,8.9533333,119.8675,96828.0,Natural,No
Belize Barrier Reef Reserve System,Belize,1996,No,2018.0,17.190549,-87.846213,96300.0,Natural,No
Natural and Cultural Heritage of the Ohrid region,North Macedonia,1979,No,,40.9918333,20.7041667,94728.6,Mixed,Yes
Natural and Cultural Heritage of the Ohrid region,Albania,1979,No,,40.9918333,20.7041667,94728.6,Mixed,Yes
Chitwan National Park,Nepal,1984,No,,27.5,84.33333,93200.0,Natural,No
Great Himalayan National Park Conservation Area,India,2014,No,,31.8333333,77.5833333,90540.0,Natural,No
Hawaii Volcanoes National Park,United States,1987,No,,19.4008333,-155.1236111,87940.0,Natural,No
The Loire Valley between Sully-sur-Loire and Chalonnes,France,2000,No,,47.39889,0.70278,86021.0,Cultural,No
Swiss Alps Jungfrau-Aletsch,Switzerland,2001,No,,46.5,8.0333333,82400.0,Natural,No
China Danxia,China,2010,No,,28.4219444,106.0425,82151.0,Natural,No
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,Cuba,2000,No,,20.03,-75.3913889,81475.0,Cultural,No
Hubei Shennongjia,China,2016,No,,31.4697222,110.2077778,79624.0,Natural,No
Tongariro National Park,New Zealand,1990,No,,-39.2908333,175.5622222,79596.0,Mixed,No
Ujung Kulon National Park,Indonesia,1991,No,,-6.75,105.3333333,78525.0,Natural,No
New Zealand Sub-Antarctic Islands,New Zealand,1998,No,,-50.75,166.1044444,76458.0,Natural,No
Kilimanjaro National Park,Tanzania,1987,No,,-3.06667,37.36667,75575.0,Natural,No
Kinabalu Park,Malaysia,2000,No,,6.25,116.5,75370.0,Natural,No
Lines and Geoglyphs of Nasca and Palpa,Peru,1994,No,,-14.72583,-75.14861,75358.47,Cultural,No
Hortobágy National Park - the Puszta,Hungary,1999,No,,47.59458,21.15678,74820.0,Cultural,No
Wadi Rum Protected Area,Jordan,2011,No,,29.6397222,35.4338889,74179.7,Mixed,No
Bikini Atoll Nuclear Test Site,Marshall Islands,2010,No,,11.6,165.3805556,73500.0,Cultural,No
Jiuzhaigou Valley Scenic and Historic Interest Area,China,1992,No,,33.08333,103.91667,72000.0,Natural,No
Los Katíos National Park,Colombia,1994,No,2015.0,7.803975,-77.146271,72000.0,Natural,No
Nanda Devi and Valley of Flowers National Parks,India,1988,No,,30.71667,79.66667,71210.0,Natural,No
Alejandro de Humboldt National Park,Cuba,2001,No,,20.45,-75.0,71140.0,Natural,No
Shiretoko,Japan,2005,No,,43.94944,144.96583,71100.0,Natural,No
Venice and its Lagoon,Italy,1987,No,,45.4343056,12.3389444,70176.4,Cultural,No
Fertö / Neusiedlersee Cultural Landscape,Hungary,2001,No,,47.7192778,16.7227222,68369.0,Cultural,Yes
Fertö / Neusiedlersee Cultural Landscape,Austria,2001,No,,47.7192778,16.7227222,68369.0,Cultural,Yes
Ha Long Bay - Cat Ba Archipelago,Vietnam,1994,No,,20.8327778,107.1611111,65650.0,Natural,No
Lakes of Ounianga,Chad,2012,No,,19.055,20.5055556,62808.0,Natural,No
Val d''Orcia,Italy,2004,No,,43.0666667,11.55,61187.9609,Cultural,No
Saint Catherine Area,Egypt,2002,No,,28.55623,33.97543,60100.0,Cultural,No
Huanglong Scenic and Historic Interest Area,China,1992,No,,32.75417,103.82222,60000.0,Natural,No
Tikal National Park,Guatemala,1979,No,,17.2166667,-89.6166667,57600.0,Mixed,No
Central Highlands of Sri Lanka,Sri Lanka,2010,No,,7.45245,80.8021,56844.0,Natural,No
Caves of Aggtelek Karst and Slovak Karst,Slovak Republic,1995,No,,48.47573,20.48687,56650.57,Natural,Yes
Caves of Aggtelek Karst and Slovak Karst,Hungary,1995,No,,48.47573,20.48687,56650.57,Natural,Yes
Agricultural Landscape of Southern Öland,Sweden,2000,No,,56.325,16.48333,56323.0,Cultural,No
Iguazu National Park,Argentina,1984,No,,-25.577357,-54.286073,55000.0,Natural,No
Dutch Water Defence Lines,Netherlands,1996,No,,52.555,4.7913889,54779.02,Cultural,No
Doñana National Park,Spain,1994,No,,36.9477,-6.358861,54251.7,Natural,No
Gunung Mulu National Park,Malaysia,2000,No,,4.13333,114.91667,52864.0,Natural,No
"Bassari Country: Bassari, Fula and Bedik Cultural Landscapes",Senegal,2012,No,,12.5933333,-12.8458333,50309.0,Cultural,No
Tugay forests of the Tigrovaya Balka Nature Reserve,Tajikistan,2023,No,,37.2047222,68.3413889,49786.0,Natural,No
"Ferrara, City of the Renaissance, and its Po Delta",Italy,1995,No,,44.8377778,11.6194444,46712.0,Cultural,No
Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,Azerbaijan,2023,No,,40.7059,48.8854,44829.41,Cultural,No
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Brazil,2001,No,,-3.8579444,-32.4251111,43270.0,Natural,No
Kaziranga National Park,India,1985,No,,26.6666667,93.4166667,42996.0,Natural,No
"Amami-Oshima Island, Tokunoshima Island, Northern part of Okinawa Island, and Iriomote Island",Japan,2021,No,,28.2791667,129.3783333,42698.0,Natural,No
Silk Roads: the Routes Network of Chang''an-Tianshan Corridor,Kazakhstan,2014,No,,34.3044444,108.8572222,42668.16,Cultural,Yes
Silk Roads: the Routes Network of Chang''an-Tianshan Corridor,China,2014,No,,34.3044444,108.8572222,42668.16,Cultural,Yes
Silk Roads: the Routes Network of Chang''an-Tianshan Corridor,Kyrgyz Republic,2014,No,,34.3044444,108.8572222,42668.16,Cultural,Yes
Redwood National and State Parks,United States,1980,No,,41.3738889,-123.9980556,41571.0,Natural,No
Zagori Cultural Landscape,Greece,2023,No,,39.9052778,20.8197222,41109.0,Cultural,No
Fanjingshan,China,2018,No,,27.8955556,108.68,40275.0,Natural,No
Angkor,Cambodia,1992,No,2004.0,13.4333333,103.8333333,40100.0,Cultural,No
Manas Wildlife Sanctuary,India,1985,No,2011.0,26.725,91.0305556,39100.0,Natural,No
Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,Lao PDR,2001,No,,14.8483333,105.8222222,39000.0,Cultural,No
Pirin National Park,Bulgaria,1983,No,,41.7427222,23.4304722,38350.04,Natural,No
Historic Sanctuary of Machu Picchu,Peru,1983,No,,-13.184934,-72.533443,38160.87,Mixed,No
East Rennell,Solomon Islands,1998,Yes,,-11.68333,160.33333,37000.0,Natural,No
"Pearling, Testimony of an Island Economy",Bahrain,2012,No,,26.24128,50.61351,35086.81,Cultural,No
Agave Landscape and Ancient Industrial Facilities of Tequila,Mexico,2006,No,,20.8630556,-103.7786111,35018.852,Cultural,No
Aldabra Atoll,Seychelles,1982,No,,-9.4166667,46.4166667,35000.0,Natural,No
Mount Athos,Greece,1988,No,,40.26667,24.21667,33042.3,Mixed,No
Curonian Spit,Russia,2000,No,,55.27458,20.96239,33021.0,Cultural,Yes
Curonian Spit,Lithuania,2000,No,,55.27458,20.96239,33021.0,Cultural,Yes
Swiss Tectonic Arena Sardona,Switzerland,2008,No,,46.9166667,9.25,32850.0,Natural,No
Desembarco del Granma National Park,Cuba,1999,No,,19.88333,-77.63333,32576.0,Natural,No
Durmitor National Park,Montenegro,1980,No,,43.133,19.0166,32100.0,Natural,No
Bwindi Impenetrable National Park,Uganda,1994,No,,-1.0805556,29.6613889,32092.0,Natural,No
Kenya Lake System in the Great Rift Valley,Kenya,2011,No,,-0.4425,36.24,32034.0,Natural,No
Cultural Landscape of the Serra de Tramuntana,Spain,2011,No,,39.7308333,2.6947222,30745.0,Cultural,No
Pyrénées - Mont Perdu,France,1997,No,,42.68542,-0.0005,30639.0,Mixed,Yes
Pyrénées - Mont Perdu,Spain,1997,No,,42.68542,-0.0005,30639.0,Mixed,Yes
Lushan National Park,China,1996,No,,29.4333333,115.8666667,30200.0,Cultural,No
Vredefort Dome,South Africa,2005,No,,-26.86,27.26,30000.0,Natural,No
Plitvice Lakes National Park,Croatia,1979,No,1997.0,44.87778,15.61444,29630.77,Natural,No
The Gedeo Cultural Landscape,Ethiopia,2023,No,,6.2488889,38.2877778,29620.0,Cultural,No
Cultural and Historic Ensemble of the Solovetsky Islands,Russia,1992,No,,65.0833333,35.6666667,28834.0,Cultural,No
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,Austria,1997,No,,47.5594444,13.6463889,28446.2,Cultural,No
Mapungubwe Cultural Landscape,South Africa,2003,No,,-22.1925,29.23889,28168.6602,Cultural,No
Upper Middle Rhine Valley,Germany,2002,No,,50.1736111,7.6941667,27250.0,Cultural,No
Wulingyuan Scenic and Historic Interest Area,China,1992,No,,29.33333,110.5,26400.0,Natural,No
Blue and John Crow Mountains,Jamaica,2015,No,,18.0775,-76.5711111,26251.6,Mixed,No
Petra,Jordan,1985,No,,30.33056,35.44333,26171.0,Cultural,No
"National History Park – Citadel, Sans Souci, Ramiers",Haiti,1982,No,,19.573025,-72.234268,25285.59,Cultural,No
